ZONA_O,H_SAIDA,FE_VIA
Ermelino Matarazzo,18,13719
Ermelino Matarazzo,19,3248
Ermelino Matarazzo,20,1370
Ermelino Matarazzo,22,1160
Ermelino Matarazzo,23,282
Estação Eng. Goulart,0,389
Estação Eng. Goulart,3,247
Estação Eng. Goulart,4,545
Estação Eng. Goulart,5,236
Estação Eng. Goulart,6,6762
Estação Eng. Goulart,7,2874
Estação Eng. Goulart,8,3686
Estação Eng. Goulart,9,1186
Estação Eng. Goulart,10,1225
Estação Eng. Goulart,11,3427
Estação Eng. Goulart,12,9190
Estação Eng. Goulart,13,5243
Estação Eng. Goulart,14,3214
Estação Eng. Goulart,15,3361
Estação Eng. Goulart,16,2314
Estação Eng. Goulart,17,3983
Estação Eng. Goulart,18,5788
Estação Eng. Goulart,19,2098
Estação Eng. Goulart,20,1171
Estação Eng. Goulart,21,1071
Estação Eng. Goulart,22,2294
Estação Eng. Goulart,23,230
Estrada das Lágrimas,4,682
Estrada das Lágrimas,5,459
Estrada das Lágrimas,6,7983
Estrada das Lágrimas,7,8343
Estrada das Lágrimas,8,4510
Estrada das Lágrimas,9,1893
Estrada das Lágrimas,10,1472
Estrada das Lágrimas,11,2780
Estrada das Lágrimas,12,12386
Estrada das Lágrimas,13,5819
Estrada das Lágrimas,14,4873
Estrada das Lágrimas,15,3050
Estrada das Lágrimas,16,11549
Estrada das Lágrimas,17,10512
Estrada das Lágrimas,18,9847
Estrada das Lágrimas,19,3014
Estrada das Lágrimas,20,1405
Estrada das Lágrimas,21,109
Estrada das Lágrimas,22,1951
Estrada das Lágrimas,23,2400
Estrada de Nazaré Paulista,1,400
Estrada de Nazaré Paulista,2,742
Estrada de Nazaré Paulista,4,852
Estrada de Nazaré Paulista,5,5619
Estrada de Nazaré Paulista,6,18647
Estrada de Nazaré Paulista,7,9657
Estrada de Nazaré Paulista,8,2858
Estrada de Nazaré Paulista,9,2522
Estrada de Nazaré Paulista,10,6623
Estrada de Nazaré Paulista,11,8030
Estrada de Nazaré Paulista,12,14805
Estrada de Nazaré Paulista,13,6556
Estrada de Nazaré Paulista,14,6185
Estrada de Nazaré Paulista,15,1437
Estrada de Nazaré Paulista,16,2297
Estrada de Nazaré Paulista,17,4585
Estrada de Nazaré Paulista,18,10482
Estrada de Nazaré Paulista,19,2609
Estrada de Nazaré Paulista,20,2248
Estrada de Nazaré Paulista,21,934
Estrada de Nazaré Paulista,22,1001
Estrada de Nazaré Paulista,23,828
Estrada do Carneiro,4,1121
Estrada do Carneiro,5,2574
Estrada do Carneiro,6,3112
Estrada do Carneiro,7,4559
Estrada do Carneiro,8,1197
Estrada do Carneiro,9,975
Estrada do Carneiro,10,1459
Estrada do Carneiro,11,1180
Estrada do Carneiro,12,2824
Estrada do Carneiro,13,574
Estrada do Carneiro,14,1694
Estrada do Carneiro,15,941
Estrada do Carneiro,16,1162
Estrada do Carneiro,17,1177
Estrada do Carneiro,18,1280
Estrada do Carneiro,20,401
Estrada do Carneiro,21,169
Estrada do Carneiro,22,169
Estrada do Jacarandá,5,1498
Estrada do Jacarandá,6,13948
Estrada do Jacarandá,7,8880
Estrada do Jacarandá,8,2232
Estrada do Jacarandá,9,458
Estrada do Jacarandá,10,3397
Estrada do Jacarandá,11,2909
Estrada do Jacarandá,12,17007
Estrada do Jacarandá,13,1949
Estrada do Jacarandá,14,917
Estrada do Jacarandá,15,642
Estrada do Jacarandá,16,2325
Estrada do Jacarandá,17,5564
Estrada do Jacarandá,18,2858
Estrada do Jacarandá,19,635
Estrada do Jacarandá,20,646
Estrada do Jacarandá,21,872
Estrada do Jacarandá,22,843
Estudantes,0,880
Estudantes,4,141
Estudantes,5,1428
Estudantes,6,6580
Estudantes,7,6293
Estudantes,8,3436
Estudantes,9,604
Estudantes,10,1878
Estudantes,11,4899
Estudantes,12,7995
Estudantes,13,3043
Estudantes,14,3333
Estudantes,15,4407
Estudantes,16,3818
Estudantes,17,6825
Estudantes,18,7166
Estudantes,19,367
Estudantes,20,1161
Estudantes,21,1545
Estudantes,22,11650
Estudantes,23,1164
FAAP,0,24
FAAP,1,32
FAAP,4,39
FAAP,6,583
FAAP,7,2426
FAAP,8,1321
FAAP,9,1467
FAAP,10,1108
FAAP,11,717
FAAP,12,3213
FAAP,13,2808
FAAP,14,1100
FAAP,15,1219
FAAP,16,2118
FAAP,17,2459
FAAP,18,3430
FAAP,19,1718
FAAP,20,952
FAAP,21,3244
FAAP,22,1501
FAAP,23,378
Fazenda Caguaçu,0,396
Fazenda Caguaçu,4,1641
Fazenda Caguaçu,5,336
Fazenda Caguaçu,6,7667
Fazenda Caguaçu,7,1902
Fazenda Caguaçu,8,2295
Fazenda Caguaçu,9,504
Fazenda Caguaçu,10,1488
Fazenda Caguaçu,11,873
Fazenda Caguaçu,12,7099
Fazenda Caguaçu,13,1809
Fazenda Caguaçu,14,2127
Fazenda Caguaçu,15,1176
Fazenda Caguaçu,16,2490
Fazenda Caguaçu,17,3986
Fazenda Caguaçu,18,2262
Fazenda Caguaçu,19,1644
Fazenda Caguaçu,20,589
Fazenda Caguaçu,21,1430
Fazenda Caguaçu,22,343
Fazenda Itaim,0,333
Fazenda Itaim,4,5915
Fazenda Itaim,5,8001
Fazenda Itaim,6,32219
Fazenda Itaim,7,11565
Fazenda Itaim,8,4249
Fazenda Itaim,9,6878
Fazenda Itaim,10,3097
Fazenda Itaim,11,3690
Fazenda Itaim,12,17971
Fazenda Itaim,13,6775
Fazenda Itaim,14,6494
Fazenda Itaim,15,1536
Fazenda Itaim,16,8143
Fazenda Itaim,17,12422
Fazenda Itaim,18,9082
Fazenda Itaim,19,4410
Fazenda Itaim,20,648
Fazenda Itaim,22,2628
Fazenda Itaim,23,644
Fazenda Morumbi,0,250
Fazenda Morumbi,4,337
Fazenda Morumbi,5,759
Fazenda Morumbi,6,6013
Fazenda Morumbi,7,5444
Fazenda Morumbi,8,3606
Fazenda Morumbi,9,1083
Fazenda Morumbi,10,1873
Fazenda Morumbi,11,1039
Fazenda Morumbi,12,3136
Fazenda Morumbi,13,2476
Fazenda Morumbi,14,2040
Fazenda Morumbi,15,2252
Fazenda Morumbi,16,2195
Fazenda Morumbi,17,2615
Fazenda Morumbi,18,5442
Fazenda Morumbi,19,3042
Fazenda Morumbi,20,320
Fazenda Morumbi,21,896
Fazenda Morumbi,22,2650
Fazenda Morumbi,23,361
Fazenda Velha,4,141
Fazenda Velha,5,250
Fazenda Velha,6,912
Fazenda Velha,7,1269
Fazenda Velha,8,744
Fazenda Velha,10,266
Fazenda Velha,11,311
Fazenda Velha,12,1679
Fazenda Velha,13,218
Fazenda Velha,14,99
Fazenda Velha,15,114
Fazenda Velha,16,1308
Fazenda Velha,17,1981
Fazenda Velha,18,110
Fazenda Velha,19,524
Fazenda Velha,20,47
Fazenda da Juta,4,3117
Fazenda da Juta,5,2933
Fazenda da Juta,6,15204
Fazenda da Juta,7,13279
Fazenda da Juta,8,3298
Fazenda da Juta,9,7167
Fazenda da Juta,10,1091
Fazenda da Juta,11,7780
Fazenda da Juta,12,14756
Fazenda da Juta,13,7435
Fazenda da Juta,14,1260
Fazenda da Juta,15,1983
Fazenda da Juta,16,6465
Fazenda da Juta,17,5129
Fazenda da Juta,18,17932
Fazenda da Juta,19,1890
Fazenda da Juta,20,1160
Fazenda da Juta,21,682
Fazenda da Juta,22,3281
Fazenda da Juta,23,406
Fernando Nobre,4,119
Fernando Nobre,5,2775
Fernando Nobre,6,4087
Fernando Nobre,7,3999
Fernando Nobre,8,2060
Fernando Nobre,9,1598
Fernando Nobre,10,1566
Fernando Nobre,11,1588
Fernando Nobre,12,5950
Fernando Nobre,13,1992
Fernando Nobre,14,3546
Fernando Nobre,15,1217
Fernando Nobre,16,7227
Fernando Nobre,17,7908
Fernando Nobre,18,5354
Fernando Nobre,19,877
Fernando Nobre,20,1445
Fernando Nobre,21,823
Fernando Nobre,22,1580
Fernando Nobre,23,48
Ferraz de Vasconcelos,4,702
Ferraz de Vasconcelos,5,3260
Ferraz de Vasconcelos,6,15624
Ferraz de Vasconcelos,7,11950
Ferraz de Vasconcelos,8,4331
Ferraz de Vasconcelos,9,3970
Ferraz de Vasconcelos,10,7220
Ferraz de Vasconcelos,11,7490
Ferraz de Vasconcelos,12,17491
Ferraz de Vasconcelos,13,4773
Ferraz de Vasconcelos,14,1378
Ferraz de Vasconcelos,15,4184
Ferraz de Vasconcelos,16,6139
Ferraz de Vasconcelos,17,10480
Ferraz de Vasconcelos,18,4159
Ferraz de Vasconcelos,19,3092
Ferraz de Vasconcelos,20,799
Ferraz de Vasconcelos,21,56
Ferraz de Vasconcelos,22,1518
Ferraz de Vasconcelos,23,521
Francisco Matarazzo,0,350
Francisco Matarazzo,1,262
Francisco Matarazzo,4,3
Francisco Matarazzo,6,1320
Francisco Matarazzo,7,3140
Francisco Matarazzo,8,1372
Francisco Matarazzo,9,636
Francisco Matarazzo,10,2002
Francisco Matarazzo,11,13463
Francisco Matarazzo,12,14055
Francisco Matarazzo,13,6627
Francisco Matarazzo,14,3559
Francisco Matarazzo,15,5375
Francisco Matarazzo,16,5055
Francisco Matarazzo,17,11176
Francisco Matarazzo,18,7521
Francisco Matarazzo,19,4593
Francisco Matarazzo,20,1688
Francisco Matarazzo,21,5516
Francisco Matarazzo,22,25972
Francisco Matarazzo,23,6229
Francisco Morato,1,280
Francisco Morato,4,5622
Francisco Morato,5,9381
Francisco Morato,6,20660
Francisco Morato,7,6198
Francisco Morato,8,5841
Francisco Morato,9,1455
Francisco Morato,10,2197
Francisco Morato,11,4279
Francisco Morato,12,28287
Francisco Morato,13,4417
Francisco Morato,14,3318
Francisco Morato,15,949
Francisco Morato,16,938
Francisco Morato,17,8590
Francisco Morato,18,18682
Francisco Morato,19,2283
Francisco Morato,20,988
Francisco Morato,21,967
Francisco Morato,22,3951
Francisco Morato,23,2354
Franco da Rocha,4,4429
Franco da Rocha,5,7330
Franco da Rocha,6,23256
Franco da Rocha,7,10367
Franco da Rocha,8,2660
Franco da Rocha,9,609
Franco da Rocha,10,1814
Franco da Rocha,11,4601
Franco da Rocha,12,20070
Franco da Rocha,13,5720
Franco da Rocha,14,1356
Franco da Rocha,15,2245
Franco da Rocha,16,7277
Franco da Rocha,17,15942
Franco da Rocha,18,4764
Franco da Rocha,19,1062
Franco da Rocha,20,1020
Franco da Rocha,21,593
Franco da Rocha,22,1329
Franco da Rocha,23,674
França Pinto,0,171
França Pinto,1,418
França Pinto,2,114
França Pinto,5,379
França Pinto,6,1409
França Pinto,7,4710
França Pinto,8,3097
França Pinto,9,1469
França Pinto,10,1822
França Pinto,11,1452
França Pinto,12,5093
França Pinto,13,2370
França Pinto,14,1233
França Pinto,15,1381
França Pinto,16,3795
França Pinto,17,3356
França Pinto,18,4406
França Pinto,19,3622
França Pinto,20,1424
França Pinto,21,1367
França Pinto,22,5601
França Pinto,23,1775
Freguesia do Ó,1,459
Freguesia do Ó,5,1432
Freguesia do Ó,6,19563
Freguesia do Ó,7,9693
Freguesia do Ó,8,5340
Freguesia do Ó,9,4899
Freguesia do Ó,10,6316
Freguesia do Ó,11,7136
Freguesia do Ó,12,18312
Freguesia do Ó,13,4766
Freguesia do Ó,14,8471
Freguesia do Ó,15,4808
Freguesia do Ó,16,3739
Freguesia do Ó,17,7444
Freguesia do Ó,18,10429
Freguesia do Ó,19,5069
Freguesia do Ó,20,2540
Freguesia do Ó,21,2216
Freguesia do Ó,22,3804
Freguesia do Ó,23,2023
Frei Mont'Alverne,4,867
Frei Mont'Alverne,5,1445
Frei Mont'Alverne,6,7857
Frei Mont'Alverne,7,3263
Frei Mont'Alverne,8,1442
Frei Mont'Alverne,9,2304
Frei Mont'Alverne,10,707
Frei Mont'Alverne,11,2859
Frei Mont'Alverne,12,6215
Frei Mont'Alverne,13,4656
Frei Mont'Alverne,14,1831
Frei Mont'Alverne,15,2750
Frei Mont'Alverne,16,2582
Frei Mont'Alverne,17,5325
Frei Mont'Alverne,18,4428
Frei Mont'Alverne,19,937
Frei Mont'Alverne,20,1260
Frei Mont'Alverne,22,344
Fábrica Bandeirantes,0,1914
Fábrica Bandeirantes,1,241
Fábrica Bandeirantes,4,5156
Fábrica Bandeirantes,5,10014
Fábrica Bandeirantes,6,21945
Fábrica Bandeirantes,7,13150
Fábrica Bandeirantes,8,6658
Fábrica Bandeirantes,9,6891
Fábrica Bandeirantes,10,6703
Fábrica Bandeirantes,11,12489
Fábrica Bandeirantes,12,17377
Fábrica Bandeirantes,13,4821
Fábrica Bandeirantes,14,5686
Fábrica Bandeirantes,15,1595
Fábrica Bandeirantes,16,19271
Fábrica Bandeirantes,17,16005
Fábrica Bandeirantes,18,13077
Fábrica Bandeirantes,19,1990
Fábrica Bandeirantes,20,445
Fábrica Bandeirantes,21,2901
Fábrica Bandeirantes,23,499
Gasômetro,2,154
Gasômetro,4,49
Gasômetro,5,422
Gasômetro,6,1702
Gasômetro,7,1624
Gasômetro,8,982
Gasômetro,9,452
Gasômetro,10,1312
Gasômetro,11,1973
Gasômetro,12,3728
Gasômetro,13,2095
Gasômetro,14,944
Gasômetro,15,1669
Gasômetro,16,3214
Gasômetro,17,5272
Gasômetro,18,2751
Gasômetro,19,149
Gasômetro,20,438
Gasômetro,21,242
Gasômetro,22,2452
Gavião Peixoto,5,21
Gavião Peixoto,6,540
Gavião Peixoto,7,726
Gavião Peixoto,8,854
Gavião Peixoto,9,223
Gavião Peixoto,10,225
Gavião Peixoto,11,1663
Gavião Peixoto,12,1795
Gavião Peixoto,13,255
Gavião Peixoto,14,151
Gavião Peixoto,15,1133
Gavião Peixoto,16,1174
Gavião Peixoto,17,505
Gavião Peixoto,18,1017
Gavião Peixoto,19,350
Gavião Peixoto,20,394
Gavião Peixoto,21,10
Gavião Peixoto,22,454
Gleba do Pêssego,3,268
Gleba do Pêssego,4,1453
Gleba do Pêssego,5,2028
Gleba do Pêssego,6,4384
Gleba do Pêssego,7,6414
Gleba do Pêssego,8,1862
Gleba do Pêssego,9,1321
Gleba do Pêssego,10,694
Gleba do Pêssego,11,1322
Gleba do Pêssego,12,7185
Gleba do Pêssego,13,3491
Gleba do Pêssego,14,2545
Gleba do Pêssego,15,1943
Gleba do Pêssego,16,2029
Gleba do Pêssego,17,3509
Gleba do Pêssego,18,9360
Gleba do Pêssego,19,502
Gleba do Pêssego,20,268
Gleba do Pêssego,21,1095
Gleba do Pêssego,22,557
Gleba do Pêssego,23,207
Glicério,3,69
Glicério,5,852
Glicério,6,5800
Glicério,7,3859
Glicério,8,4306
Glicério,9,3417
Glicério,10,1407
Glicério,11,2182
Glicério,12,4422
Glicério,13,422
Glicério,14,2936
Glicério,15,3710
Glicério,16,2401
Glicério,17,4664
Glicério,18,2456
Glicério,19,1741
Glicério,20,293
Glicério,21,2021
Glicério,22,125
Gomes Cardim,0,1257
Gomes Cardim,1,408
Gomes Cardim,2,504
Gomes Cardim,3,227
Gomes Cardim,4,217
Gomes Cardim,5,1166
Gomes Cardim,6,5300
Gomes Cardim,7,8793
Gomes Cardim,8,4265
Gomes Cardim,9,6231
Gomes Cardim,10,3429
Gomes Cardim,11,3944
Gomes Cardim,12,16104
Gomes Cardim,13,8880
Gomes Cardim,14,5670
Gomes Cardim,15,5528
Gomes Cardim,16,6214
Gomes Cardim,17,11689
Gomes Cardim,18,14800
Gomes Cardim,19,5759
Gomes Cardim,20,2807
Gomes Cardim,21,408
Gomes Cardim,22,5669
Gomes Cardim,23,866
Gopouva,0,584
Gopouva,4,125
Gopouva,5,1076
Gopouva,6,3295
Gopouva,7,3199
Gopouva,8,2032
Gopouva,9,2982
Gopouva,10,959
Gopouva,11,1198
Gopouva,12,4325
Gopouva,13,6782
Gopouva,14,1943
Gopouva,15,934
Gopouva,16,1466
Gopouva,17,9588
Gopouva,18,2798
Gopouva,19,3158
Gopouva,20,3712
Gopouva,21,153
Grajaú,0,328
Grajaú,2,210
Grajaú,4,2823
Grajaú,5,7623
Grajaú,6,17837
Grajaú,7,11497
Grajaú,8,3959
Grajaú,9,2375
Grajaú,10,3937
Grajaú,11,10345
Grajaú,12,22343
Grajaú,13,4937
Grajaú,14,4750
Grajaú,15,2554
Grajaú,16,6679
Grajaú,17,8302
Grajaú,18,21443
Grajaú,19,2815
Grajaú,20,1638
Grajaú,21,572
Grajaú,22,5932
Grajaú,23,3203
Granja Julieta,0,285
Granja Julieta,1,315
Granja Julieta,3,107
Granja Julieta,4,1011
Granja Julieta,6,8535
Granja Julieta,7,14099
Granja Julieta,8,5132
Granja Julieta,9,6561
Granja Julieta,10,4220
Granja Julieta,11,8096
Granja Julieta,12,33459
Granja Julieta,13,26742
Granja Julieta,14,16594
Granja Julieta,15,8802
Granja Julieta,16,16745
Granja Julieta,17,31916
Granja Julieta,18,31848
Granja Julieta,19,15448
Granja Julieta,20,8225
Granja Julieta,21,4625
Granja Julieta,22,18862
Granja Julieta,23,7170
Granja Viana,4,694
Granja Viana,5,1736
Granja Viana,6,7582
Granja Viana,7,8316
Granja Viana,8,4633
Granja Viana,9,1780
Granja Viana,10,1114
Granja Viana,11,3463
Granja Viana,12,8513
Granja Viana,13,4326
Granja Viana,14,2536
Granja Viana,15,5959
Granja Viana,16,5158
Granja Viana,17,11986
Granja Viana,18,6939
Granja Viana,19,1981
Granja Viana,20,648
Granja Viana,21,713
Granja Viana,22,3073
Granja Viana,23,240
Guaianases,4,1352
Guaianases,5,2967
Guaianases,6,25669
Guaianases,7,8973
Guaianases,8,1902
Guaianases,9,865
Guaianases,10,3394
Guaianases,11,3989
Guaianases,12,7473
Guaianases,13,3356
Guaianases,14,4725
Guaianases,15,1291
Guaianases,16,6222
Guaianases,17,6780
Guaianases,18,4377
Guaianases,19,2352
Guaianases,20,1461
Guaianases,21,317
Guaianases,22,3902
Guaió,5,863
Guaió,6,4446
Guaió,7,2922
Guaió,8,1133
Guaió,9,852
Guaió,10,1692
Guaió,11,1993
Guaió,12,4061
Guaió,13,1725
Guaió,14,1079
Guaió,15,266
Guaió,16,2502
Guaió,17,2693
Guaió,18,1748
Guaió,19,980
Guaió,22,540
Guarapiranga,1,523
Guarapiranga,4,2357
Guarapiranga,5,3979
Guarapiranga,6,21134
Guarapiranga,7,10015
Guarapiranga,8,3325
Guarapiranga,9,2628
Guarapiranga,10,2092
Guarapiranga,11,3360
Guarapiranga,12,11810
Guarapiranga,13,7465
Guarapiranga,14,4054
Guarapiranga,15,2598
Guarapiranga,16,4183
Guarapiranga,17,7945
Guarapiranga,18,6531
Guarapiranga,19,1837
Guarapiranga,20,481
Guarapiranga,21,283
Guarapiranga,22,3077
Guarapiranga,23,1037
Guararema,0,502
Guararema,1,295
Guararema,4,210
Guararema,5,1438
Guararema,6,6035
Guararema,7,2590
Guararema,8,2510
Guararema,9,768
Guararema,10,1511
Guararema,11,450
Guararema,12,10247
Guararema,13,2870
Guararema,14,780
Guararema,15,919
Guararema,16,2283
Guararema,17,4809
Guararema,18,5501
Guararema,19,1030
Guararema,20,787
Guararema,21,407
Guararema,22,442
Guararema,23,392
Guarulhos,0,422
Guarulhos,4,83
Guarulhos,5,922
Guarulhos,6,5384
Guarulhos,7,3758
Guarulhos,8,3151
Guarulhos,9,5143
Guarulhos,10,3647
Guarulhos,11,8285
Guarulhos,12,12040
Guarulhos,13,5623
Guarulhos,14,6035
Guarulhos,15,5544
Guarulhos,16,9330
Guarulhos,17,14743
Guarulhos,18,16910
Guarulhos,19,4980
Guarulhos,20,3381
Guarulhos,21,3755
Guarulhos,22,6927
Guarulhos,23,1542
Higienópolis,2,35
Higienópolis,4,129
Higienópolis,5,199
Higienópolis,6,3048
Higienópolis,7,5459
Higienópolis,8,3067
Higienópolis,9,3688
Higienópolis,10,2567
Higienópolis,11,2692
Higienópolis,12,4854
Higienópolis,13,3805
Higienópolis,14,2403
Higienópolis,15,5030
Higienópolis,16,3373
Higienópolis,17,5878
Higienópolis,18,4442
Higienópolis,19,2865
Higienópolis,20,4855
Higienópolis,21,1807
Higienópolis,22,2263
Higienópolis,23,655
Horto Florestal,5,130
Horto Florestal,6,2187
Horto Florestal,7,2994
Horto Florestal,8,358
Horto Florestal,9,270
Horto Florestal,10,159
Horto Florestal,11,334
Horto Florestal,12,1204
Horto Florestal,13,1238
Horto Florestal,14,72
Horto Florestal,15,136
Horto Florestal,16,2335
Horto Florestal,17,5014
Horto Florestal,18,2440
Horto Florestal,19,483
Horto Florestal,20,115
Horto Florestal,22,61
Hélio Pelegrino,1,482
Hélio Pelegrino,2,373
Hélio Pelegrino,3,101
Hélio Pelegrino,5,167
Hélio Pelegrino,6,2656
Hélio Pelegrino,7,2193
Hélio Pelegrino,8,3207
Hélio Pelegrino,9,484
Hélio Pelegrino,10,603
Hélio Pelegrino,11,2578
Hélio Pelegrino,12,6509
Hélio Pelegrino,13,4449
Hélio Pelegrino,14,2126
Hélio Pelegrino,15,2328
Hélio Pelegrino,16,2621
Hélio Pelegrino,17,6489
Hélio Pelegrino,18,6264
Hélio Pelegrino,19,3298
Hélio Pelegrino,20,1630
Hélio Pelegrino,21,890
Hélio Pelegrino,22,3285
Hélio Pelegrino,23,1861
Iguatemi,4,1516
Iguatemi,5,6771
Iguatemi,6,9384
Iguatemi,7,6648
Iguatemi,8,3539
Iguatemi,9,1247
Iguatemi,10,2804
Iguatemi,11,7122
Iguatemi,12,7187
Iguatemi,13,3044
Iguatemi,14,2038
Iguatemi,15,1830
Iguatemi,16,3787
Iguatemi,17,4287
Iguatemi,18,7933
Iguatemi,19,2052
Iguatemi,20,694
Iguatemi,21,314
Iguatemi,22,1333
Iguatemi,23,1438
Independência,3,517
Independência,5,1113
Independência,6,4593
Independência,7,3675
Independência,8,3287
Independência,9,774
Independência,10,2910
Independência,11,2141
Independência,12,10746
Independência,13,5755
Independência,14,3225
Independência,15,2129
Independência,16,5067
Independência,17,10240
Independência,18,11337
Independência,19,2935
Independência,20,2186
Independência,21,227
Independência,22,509
Independência,23,1138
Invernada,1,628
Invernada,4,1521
Invernada,5,3712
Invernada,6,11425
Invernada,7,17546
Invernada,8,8100
Invernada,9,3517
Invernada,10,2417
Invernada,11,7553
Invernada,12,26486
Invernada,13,7959
Invernada,14,7147
Invernada,15,5580
Invernada,16,6711
Invernada,17,4208
Invernada,18,15003
Invernada,19,4008
Invernada,20,1491
Invernada,21,628
Invernada,22,628
Invernada,23,920
Ipiranga,5,340
Ipiranga,6,817
Ipiranga,7,4194
Ipiranga,8,1731
Ipiranga,9,864
Ipiranga,10,617
Ipiranga,11,2447
Ipiranga,12,5185
Ipiranga,13,4142
Ipiranga,14,1201
Ipiranga,15,2750
Ipiranga,16,2302
Ipiranga,17,7883
Ipiranga,18,5678
Ipiranga,19,702
Ipiranga,20,589
Ipiranga,21,426
Ipiranga,22,67
Ipiranga,23,413
Itaberaba,1,362
Itaberaba,5,826
Itaberaba,6,7991
Itaberaba,7,10383
Itaberaba,8,4319
Itaberaba,9,1810
Itaberaba,10,1406
Itaberaba,11,3588
Itaberaba,12,10359
Itaberaba,13,4632
Itaberaba,14,2754
Itaberaba,15,2110
Itaberaba,16,4230
Itaberaba,17,5937
Itaberaba,18,3831
Itaberaba,19,4721
Itaberaba,20,362
Itaberaba,21,610
Itaberaba,22,575
Itaberaba,23,1121
Itaim Paulista,4,971
Itaim Paulista,5,3697
Itaim Paulista,6,11524
Itaim Paulista,7,8238
Itaim Paulista,8,2850
Itaim Paulista,9,2493
Itaim Paulista,10,3050
Itaim Paulista,11,4181
Itaim Paulista,12,11463
Itaim Paulista,13,8706
Itaim Paulista,14,6744
Itaim Paulista,15,1488
Itaim Paulista,16,6550
Itaim Paulista,17,13552
Itaim Paulista,18,8818
Itaim Paulista,19,1596
Itaim Paulista,20,1742
Itaim Paulista,21,1053
Itaim Paulista,22,2769
Itapecerica da Serra,0,5765
Itapecerica da Serra,1,521
Itapecerica da Serra,2,273
Itapecerica da Serra,4,3951
Itapecerica da Serra,5,6158
Itapecerica da Serra,6,38347
Itapecerica da Serra,7,22533
Itapecerica da Serra,8,10276
Itapecerica da Serra,9,8554
Itapecerica da Serra,10,9246
Itapecerica da Serra,11,18069
Itapecerica da Serra,12,42566
Itapecerica da Serra,13,9671
Itapecerica da Serra,14,4056
Itapecerica da Serra,15,6226
Itapecerica da Serra,16,13231
Itapecerica da Serra,17,16445
Itapecerica da Serra,18,16749
Itapecerica da Serra,19,11582
Itapecerica da Serra,20,2938
Itapecerica da Serra,21,6292
Itapecerica da Serra,22,4654
Itapecerica da Serra,23,1889
Itapeti,4,133
Itapeti,5,571
Itapeti,6,2036
Itapeti,7,977
Itapeti,8,661
Itapeti,9,283
Itapeti,10,394
Itapeti,11,394
Itapeti,12,2741
Itapeti,13,379
Itapeti,14,524
Itapeti,15,372
Itapeti,16,1511
Itapeti,17,3994
Itapeti,18,855
Itapeti,19,407
Itapeti,20,84
Itapeti,21,152
Itapeti,22,157
Itapevi,1,512
Itapevi,4,2557
Itapevi,5,7359
Itapevi,6,22390
Itapevi,7,10281
Itapevi,8,3407
Itapevi,9,4959
Itapevi,10,4497
Itapevi,11,9942
Itapevi,12,30115
Itapevi,13,8581
Itapevi,14,3047
Itapevi,15,2928
Itapevi,16,5271
Itapevi,17,16889
Itapevi,18,14133
Itapevi,19,4350
Itapevi,20,2051
Itapevi,21,710
Itapevi,22,2909
Itaquaquecetuba,0,1056
Itaquaquecetuba,4,2961
Itaquaquecetuba,5,9255
Itaquaquecetuba,6,17828
Itaquaquecetuba,7,21365
Itaquaquecetuba,8,8734
Itaquaquecetuba,9,5352
Itaquaquecetuba,10,9979
Itaquaquecetuba,11,7935
Itaquaquecetuba,12,22810
Itaquaquecetuba,13,11451
Itaquaquecetuba,14,6193
Itaquaquecetuba,15,7898
Itaquaquecetuba,16,8725
Itaquaquecetuba,17,9127
Itaquaquecetuba,18,18179
Itaquaquecetuba,19,7122
Itaquaquecetuba,20,5820
Itaquaquecetuba,21,4739
Itaquaquecetuba,22,2978
Itaquaquecetuba,23,1925
Itaquera,2,276
Itaquera,4,282
Itaquera,5,1179
Itaquera,6,6438
Itaquera,7,7187
Itaquera,8,3321
Itaquera,9,1202
Itaquera,10,732
Itaquera,11,3840
Itaquera,12,11814
Itaquera,13,6047
Itaquera,14,3090
Itaquera,15,3961
Itaquera,16,3347
Itaquera,17,11907
Itaquera,18,6626
Itaquera,19,1812
Itaquera,20,2065
Itaquera,21,2984
Itaquera,22,3311
Itaquera,23,3212
Jabaquara,4,386
Jabaquara,5,1928
Jabaquara,6,6423
Jabaquara,7,12254
Jabaquara,8,5333
Jabaquara,9,5437
Jabaquara,10,2336
Jabaquara,11,6505
Jabaquara,12,15526
Jabaquara,13,8725
Jabaquara,14,3350
Jabaquara,15,5275
Jabaquara,16,8719
Jabaquara,17,13314
Jabaquara,18,17158
Jabaquara,19,6799
Jabaquara,20,2504
Jabaquara,21,3292
Jabaquara,22,8213
Jabaquara,23,2450
Jaceguava,4,39
Jaceguava,5,155
Jaceguava,6,684
Jaceguava,7,235
Jaceguava,8,239
Jaceguava,9,192
Jaceguava,10,221
Jaceguava,11,125
Jaceguava,12,326
Jaceguava,13,235
Jaceguava,14,25
Jaceguava,15,35
Jaceguava,16,75
Jaceguava,17,327
Jaceguava,18,915
Jaceguava,19,32
Jaceguava,23,239
Jaguari,4,184
Jaguari,5,456
Jaguari,6,2505
Jaguari,7,720
Jaguari,8,789
Jaguari,9,377
Jaguari,10,605
Jaguari,11,943
Jaguari,12,2411
Jaguari,13,1108
Jaguari,14,268
Jaguari,16,1027
Jaguari,17,2678
Jaguari,18,282
Jaguari,20,886
Jaguari,21,961
Jaguari,23,184
Jaguaré,2,464
Jaguaré,4,887
Jaguaré,5,2826
Jaguaré,6,7850
