"uf","ano","pop"
"MS",2012,2557442
"MS",2013,2589069
"MS",2014,2621214
"MS",2015,2653928
"MS",2016,2685454
"MS",2017,2716534
"MS",2018,2748023
"MS",2019,2778986
"MS",2020,2809394
"MT",2010,3106513
"MT",2011,3145830
"MT",2012,3185148
"MT",2013,3226030
"MT",2014,3269448
"MT",2015,3314540
"MT",2016,3356979
"MT",2017,3398791
"MT",2018,3441998
"MT",2019,3484466
"MT",2020,3526220
"GO",2010,6111792
"GO",2011,6214241
"GO",2012,6316302
"GO",2013,6417591
"GO",2014,6520857
"GO",2015,6625528
"GO",2016,6726130
"GO",2017,6824504
"GO",2018,6923655
"GO",2019,7020904
"GO",2020,7116143
"DF",2010,2639212
"DF",2011,2681052
"DF",2012,2722198
"DF",2013,2763488
"DF",2014,2805774
"DF",2015,2848633
"DF",2016,2890224
"DF",2017,2931057
"DF",2018,2972209
"DF",2019,3012718
"DF",2020,3052546
