date,privado_c_carteira,privado_s_carteira,domestico_c_carteira,domestico_s_carteira,publico_c_carteira,militar_estatutario,publico_s_carteira,empregador_c_cnpj,empregador_s_cnpj,conta_propria_c_cnpj,conta_propria_s_cnpj,trab_fam_aux,desoc,fora
2015-10-01,21.4849651542473,6.07668502363663,1.26772747209903,2.53911009308446,0.753569862079049,4.7419464886203,1.36641649203178,1.99083776012476,0.406939909352308,2.65181051708173,11.232272527901,1.41149666163068,5.49429796773722,38.5819240703738
2015-11-01,21.318669279741,5.91654392521089,1.29943640369563,2.47714574381322,0.747404170369198,4.75344183272267,1.27265644970846,1.95006755852029,0.384048885588733,2.73581575391657,11.2481893099293,1.38342807756449,5.81855363903057,38.694598970189
2015-12-01,21.1142714752823,5.87098421033439,1.30365022061773,2.44988999501635,0.71655179958429,4.7302142970013,1.22038677995357,1.90108060144161,0.377420413521497,2.8042154395945,11.2739914183958,1.36381869233855,6.26481420705247,38.6087104498657
2016-01-01,20.9395899838567,5.86318229817811,1.31270710184859,2.44698799567893,0.697925643608822,4.71979802638766,1.20953548496729,1.89228883197592,0.357459307900518,2.80687487103548,11.1916928641655,1.31270710184859,6.68976901695656,38.5594814715914
2016-02-01,20.8351501937984,5.99200581395349,1.28028100775194,2.47274709302326,0.677688953488372,4.72747093023256,1.27240794573643,1.87984496124031,0.365794573643411,2.71802325581395,11.1270591085271,1.28633720930233,6.87136627906977,38.4938226744186
2016-03-01,20.7558695099972,6.04913333252694,1.26280647853592,2.51956503332406,0.676157875001512,4.73008116313669,1.32389050838847,1.91235348904721,0.354408331619755,2.67560146601672,11.1463234671537,1.28336941927836,6.88011805547156,38.4303218705019
2016-04-01,20.7275364070337,6.05655930871956,1.24357967248776,2.50226599794549,0.693093238262131,4.75497008882712,1.34509638044595,1.87866336334522,0.351078615022056,2.65635385823917,11.1239349809656,1.27923137349689,6.96295848691764,38.4246782282917
2016-05-01,20.6645453063393,6.09780396939928,1.22873859567556,2.48223310408956,0.685316120929615,4.72234130554231,1.34648013187052,1.92250795510123,0.374357704824988,2.5721997137975,11.0260420125953,1.26255154965976,7.1140039971742,38.5008785330008
2016-06-01,20.5588183810081,6.12297867460207,1.23014890958587,2.45003651815948,0.682074714343488,4.79202757271943,1.34966288608145,1.96775537058387,0.403208769187124,2.56653246494559,10.7852309698137,1.25248232943605,7.21791985320303,38.6211225863307
2016-07-01,20.5116601804085,6.15983346909223,1.2212266570127,2.45814100823604,0.683018071016985,4.793193954204,1.32621353365312,2.02250580746372,0.43020484508402,2.47744893957221,10.6416870305005,1.23631097836908,7.21513259118472,38.8234229342022
2016-08-01,20.4517369629822,6.21183533964664,1.21041876390203,2.47448656664235,0.69382071576257,4.82841349544586,1.31229165787586,2.04951384326041,0.428589512517104,2.46243060285847,10.5809166149265,1.23875027879416,7.2209195083578,38.8358761370281
2016-09-01,20.4497967785639,6.25620954388078,1.17838326057504,2.46575342465753,0.703296703296703,4.83998193587235,1.29580009032064,2.0665362035225,0.42751768779166,2.43685082041246,10.70781273521,1.25244618395303,7.26719855486979,38.6524160770736
2016-10-01,20.368867975553,6.28421704196489,1.16645933618187,2.48916773336699,0.685692994633446,4.82509119536541,1.21994459167914,2.04866557292324,0.431487791539714,2.4302738565273,10.8034206525201,1.25540110936833,7.3785614269145,38.612748721462
2016-11-01,20.2538406144983,6.20919347095535,1.15218434949592,2.46759481517043,0.679908785405665,4.75456072971675,1.12818050888142,2.04872779644743,0.452472395583293,2.4471915506481,10.8083293326932,1.28780604896784,7.7142342774844,38.5957753240518
2016-12-01,20.1731077214681,6.11455340487173,1.14805328790705,2.46285621742234,0.650803457355879,4.73736931446703,1.08207321388941,2.00279515586293,0.460660880414115,2.45325911574704,10.7733464493723,1.3064054655494,8.08495834258054,38.5497579730921
2017-01-01,19.9660687736799,6.0704522564865,1.14203155723946,2.476499928061,0.644453503429092,4.74857320991799,1.09467171838281,2.01189391396096,0.45201668984701,2.4591146707592,10.7350966380509,1.30209582274231,8.45582945662079,38.441201860822
2017-02-01,19.8742402012157,6.1095307961793,1.12105877773453,2.51998682516394,0.657544090786598,4.68724735754708,1.21987004820792,1.99718537593197,0.46111926220918,2.4654909123574,10.8153426954517,1.29352935892445,8.37141060574303,38.4064436925472
2017-03-01,19.83776120028,6.22992205119615,1.12107489187071,2.53408390713145,0.700522251003524,4.65120452737182,1.29814968802532,1.98311807179904,0.47020537087,2.47246666387495,10.8518135210964,1.28618517477163,8.19987915841614,38.3636135222929
2017-04-01,19.8510440059248,6.30942711070763,1.11209326771465,2.52042620287639,0.731043050312963,4.59709016197621,1.38981795594629,2.00260404223804,0.489751063118161,2.46189497825983,10.920851450141,1.29067322853457,8.01877777246882,38.3045057097807
2017-05-01,19.8237465193515,6.36086648023707,1.11022997620936,2.50487439852605,0.76082354975464,4.60310172735566,1.42326474393756,2.02429149797571,0.489526751056865,2.47446530680388,10.9597944106897,1.31832356466106,7.91173015806765,38.2349609153733
2017-06-01,19.850234120885,6.37368791030728,1.08779831051697,2.53958608857276,0.760743944430544,4.57876112520999,1.45714932504081,2.00581429984154,0.493262322622154,2.49550225780701,11.0578927928894,1.33740810904195,7.77841322038341,38.1837461724512
2017-07-01,19.7645770599507,6.45865816065414,1.08784917697188,2.57441769123651,0.746854878063295,4.60134017305609,1.45978885728228,2.01085468763018,0.505242861733656,2.50895630750187,11.0701150930147,1.33719753865197,7.68040562253776,38.193741891715
